Date : 2022-04-04 10:16:46
Directory : d:\CODE\decide-it-client
Total : 84 files,  60434 codes, 343 comments, 402 blanks, all 61179 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
Files
+---------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                        | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\CODE\decide-it-client\README.md                                              | Markdown         |         38 |          0 |         33 |         71 |
| d:\CODE\decide-it-client\package-lock.json                                      | JSON             |     12,877 |          0 |          1 |     12,878 |
| d:\CODE\decide-it-client\package.json                                           | JSON             |         73 |          0 |          1 |         74 |
| d:\CODE\decide-it-client\public\index.html                                      | HTML             |         17 |         26 |          1 |         44 |
| d:\CODE\decide-it-client\public\logo.svg                                        | SVG              |          8 |          0 |          0 |          8 |
| d:\CODE\decide-it-client\public\manifest.json                                   | JSON             |         25 |          0 |          1 |         26 |
| d:\CODE\decide-it-client\src\App.jsx                                            | JavaScript React |         75 |          4 |         13 |         92 |
| d:\CODE\decide-it-client\src\App.scss                                           | SCSS             |         12 |          5 |          4 |         21 |
| d:\CODE\decide-it-client\src\App.test.js                                        | JavaScript       |          7 |          0 |          2 |          9 |
| d:\CODE\decide-it-client\src\assets\icons\arrow_back-24px.svg                   | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\arrow_back.svg                        | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\arrow_drop_down-24px.svg              | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\chevron_right-24px.svg                | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\close-24px.svg                        | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\delete_outline-24px.svg               | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\edit-24px.svg                         | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\edit-dark-24px.svg                    | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\edit-light-24px.svg                   | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\error-24px.svg                        | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\search-24px.svg                       | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\assets\icons\sort-24px.svg                         | SVG              |          3 |          0 |          1 |          4 |
| d:\CODE\decide-it-client\src\components\CardList\CardList.jsx                   | JavaScript React |         28 |          0 |          7 |         35 |
| d:\CODE\decide-it-client\src\components\CardList\CardList.scss                  | SCSS             |          0 |          0 |          1 |          1 |
| d:\CODE\decide-it-client\src\components\Dashboard\Dashboard.jsx                 | JavaScript React |         19 |         22 |          5 |         46 |
| d:\CODE\decide-it-client\src\components\Dashboard\Dashboard.scss                | SCSS             |         25 |          0 |          0 |         25 |
| d:\CODE\decide-it-client\src\components\Footer\Footer.jsx                       | JavaScript React |         49 |          0 |          4 |         53 |
| d:\CODE\decide-it-client\src\components\Footer\Footer.scss                      | SCSS             |          0 |          0 |          1 |          1 |
| d:\CODE\decide-it-client\src\components\Header\Header.jsx                       | JavaScript React |        148 |         61 |         12 |        221 |
| d:\CODE\decide-it-client\src\components\Header\Header.scss                      | SCSS             |          3 |          0 |          0 |          3 |
| d:\CODE\decide-it-client\src\components\Register\Register.jsx                   | JavaScript React |         64 |          0 |          2 |         66 |
| d:\CODE\decide-it-client\src\components\Register\Register.scss                  | SCSS             |         33 |          0 |          0 |         33 |
| d:\CODE\decide-it-client\src\components\Reset\Reset.jsx                         | JavaScript React |         38 |          0 |          2 |         40 |
| d:\CODE\decide-it-client\src\components\Reset\Reset.scss                        | SCSS             |         30 |          0 |          0 |         30 |
| d:\CODE\decide-it-client\src\components\SaveSearch\SaveSearch.jsx               | JavaScript React |        144 |         11 |         13 |        168 |
| d:\CODE\decide-it-client\src\components\buttons\Button.jsx                      | JavaScript React |         23 |          6 |          7 |         36 |
| d:\CODE\decide-it-client\src\components\buttons\Button.scss                     | SCSS             |         55 |          3 |         10 |         68 |
| d:\CODE\decide-it-client\src\components\cards\CardApp\CardApp.jsx               | JavaScript React |        107 |         11 |          8 |        126 |
| d:\CODE\decide-it-client\src\components\cards\CardApp\CardApp.scss              | SCSS             |          0 |          0 |          1 |          1 |
| d:\CODE\decide-it-client\src\components\cards\CardResults\CardResults.jsx       | JavaScript React |         70 |          3 |          9 |         82 |
| d:\CODE\decide-it-client\src\components\charts\ChartApp.jsx                     | JavaScript React |        159 |         53 |          8 |        220 |
| d:\CODE\decide-it-client\src\components\charts\ChartApp.scss                    | SCSS             |         13 |          2 |          2 |         17 |
| d:\CODE\decide-it-client\src\components\forms\FormSearch\FormSearch.jsx         | JavaScript React |        278 |         21 |         25 |        324 |
| d:\CODE\decide-it-client\src\components\forms\FormSearch\FormSearch.scss        | SCSS             |         16 |          8 |          6 |         30 |
| d:\CODE\decide-it-client\src\components\inputs\InputDate\InputDate.jsx          | JavaScript React |         21 |          0 |          3 |         24 |
| d:\CODE\decide-it-client\src\components\inputs\InputErrorTag.jsx                | JavaScript React |         19 |          0 |          5 |         24 |
| d:\CODE\decide-it-client\src\components\inputs\InputErrorTag.scss               | SCSS             |         11 |          0 |          8 |         19 |
| d:\CODE\decide-it-client\src\components\inputs\InputErrorTag\InputErrorTag.jsx  | JavaScript React |         19 |          0 |          5 |         24 |
| d:\CODE\decide-it-client\src\components\inputs\InputErrorTag\InputErrorTag.scss | SCSS             |         11 |          0 |          8 |         19 |
| d:\CODE\decide-it-client\src\components\inputs\InputNumber\InputNumber.jsx      | JavaScript React |         22 |          1 |          3 |         26 |
| d:\CODE\decide-it-client\src\components\inputs\InputNumber\InputNumber.scss     | SCSS             |          1 |          0 |          1 |          2 |
| d:\CODE\decide-it-client\src\components\inputs\InputRadio\InputRadio.jsx        | JavaScript React |         42 |          0 |          4 |         46 |
| d:\CODE\decide-it-client\src\components\inputs\InputRadio\InputRadio.scss       | SCSS             |         13 |          0 |          4 |         17 |
| d:\CODE\decide-it-client\src\components\inputs\InputSearch\InputSearch.jsx      | JavaScript React |         24 |          0 |          4 |         28 |
| d:\CODE\decide-it-client\src\components\inputs\InputSearch\InputSearch.scss     | SCSS             |         43 |          0 |         10 |         53 |
| d:\CODE\decide-it-client\src\components\inputs\InputSelect\InputSelect.jsx      | JavaScript React |         40 |          5 |          4 |         49 |
| d:\CODE\decide-it-client\src\components\inputs\InputSelect\InputSelect.scss     | SCSS             |          1 |          0 |          1 |          2 |
| d:\CODE\decide-it-client\src\components\inputs\InputTextArea\InputTextArea.jsx  | JavaScript React |         23 |          0 |          3 |         26 |
| d:\CODE\decide-it-client\src\components\inputs\InputTextArea\InputTextArea.scss | SCSS             |         13 |          1 |          2 |         16 |
| d:\CODE\decide-it-client\src\components\inputs\InputText\InputText.jsx          | JavaScript React |         21 |          1 |          3 |         25 |
| d:\CODE\decide-it-client\src\components\inputs\InputText\InputText.scss         | SCSS             |         32 |          3 |          8 |         43 |
| d:\CODE\decide-it-client\src\components\inputs\input.scss                       | SCSS             |         39 |          0 |         10 |         49 |
| d:\CODE\decide-it-client\src\data\merton-small-full.json                        | JSON             |     44,524 |          0 |          1 |     44,525 |
| d:\CODE\decide-it-client\src\firebase.js                                        | JavaScript       |        146 |          9 |         14 |        169 |
| d:\CODE\decide-it-client\src\index.js                                           | JavaScript       |         16 |          0 |          1 |         17 |
| d:\CODE\decide-it-client\src\pages\PageAdvancedSearch\PageAdvancedSearch.jsx    | JavaScript React |        177 |          7 |         18 |        202 |
| d:\CODE\decide-it-client\src\pages\PageAdvancedSearch\PageAdvancedSearch.scss   | SCSS             |         12 |          4 |          3 |         19 |
| d:\CODE\decide-it-client\src\pages\PageLogin\PageLogin.jsx                      | JavaScript React |         38 |         23 |          2 |         63 |
| d:\CODE\decide-it-client\src\pages\PageLogin\PageLogin.scss                     | SCSS             |         33 |          0 |          0 |         33 |
| d:\CODE\decide-it-client\src\pages\PageSimpleSearch\PageSimpleSearch.jsx        | JavaScript React |        240 |          6 |         26 |        272 |
| d:\CODE\decide-it-client\src\pages\PageSimpleSearch\PageSimpleSearch.scss       | SCSS             |          0 |          0 |          1 |          1 |
| d:\CODE\decide-it-client\src\styles\_index.scss                                 | SCSS             |          4 |          0 |          1 |          5 |
| d:\CODE\decide-it-client\src\styles\partials\base\_index.scss                   | SCSS             |          2 |          0 |          0 |          2 |
| d:\CODE\decide-it-client\src\styles\partials\base\_reset.scss                   | SCSS             |         34 |          1 |          3 |         38 |
| d:\CODE\decide-it-client\src\styles\partials\base\_typography.scss              | SCSS             |         80 |          1 |         11 |         92 |
| d:\CODE\decide-it-client\src\styles\partials\layout\_index.scss                 | SCSS             |          1 |          0 |          0 |          1 |
| d:\CODE\decide-it-client\src\styles\partials\layout\_page.scss                  | SCSS             |          8 |          0 |          1 |          9 |
| d:\CODE\decide-it-client\src\styles\partials\pages\_index.scss                  | SCSS             |          0 |          0 |          1 |          1 |
| d:\CODE\decide-it-client\src\styles\partials\utils\_index.scss                  | SCSS             |          2 |          0 |          0 |          2 |
| d:\CODE\decide-it-client\src\styles\partials\utils\_mixins.scss                 | SCSS             |         44 |         10 |         12 |         66 |
| d:\CODE\decide-it-client\src\styles\partials\utils\_variables.scss              | SCSS             |         13 |          3 |          7 |         23 |
| d:\CODE\decide-it-client\src\utils\apiCalls.mjs                                 | JavaScript       |         57 |         21 |          5 |         83 |
| d:\CODE\decide-it-client\src\utils\decisionDatesStats.mjs                       | JavaScript       |         37 |          0 |          7 |         44 |
| d:\CODE\decide-it-client\src\utils\getConfidenceLevel.mjs                       | JavaScript       |         32 |          1 |          7 |         40 |
| d:\CODE\decide-it-client\src\utils\queryOptions.mjs                             | JavaScript       |         69 |         10 |          4 |         83 |
| Total                                                                           |                  |     60,434 |        343 |        402 |     61,179 |
+---------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
